x, y, length, r, ctrl
-1.469, 1.573, 0.000, 5000.000, 0.000
-0.712, 2.494, 1.193, 5000.000, 0.000
0.048, 3.413, 2.385, 5000.000, 0.000
0.810, 4.328, 3.576, 5000.000, 0.000
1.577, 5.240, 4.767, 5000.000, 0.000
2.346, 6.148, 5.957, 5000.000, 0.000
3.118, 7.054, 7.147, 5000.000, 0.000
3.893, 7.956, 8.336, 5000.000, 0.000
4.671, 8.855, 9.525, 5000.000, 0.000
5.452, 9.750, 10.714, 5000.000, 0.000
6.237, 10.643, 11.901, 5000.000, 0.000
7.024, 11.532, 13.089, 5000.000, 0.000
7.814, 12.418, 14.276, 5000.000, 0.000
8.608, 13.300, 15.462, 5000.000, 0.000
9.404, 14.180, 16.648, 5000.000, 0.000
10.685, 15.406, 18.414, 5000.000, 0.000
11.509, 16.256, 19.597, 5000.000, 0.000
12.297, 17.144, 20.784, 5000.000, 0.000
13.085, 18.033, 21.972, 5000.000, 0.000
13.872, 18.922, 23.159, 5000.000, 0.000
14.660, 19.811, 24.347, 5000.000, 0.000
15.450, 20.697, 25.534, 5000.000, 0.000
16.242, 21.580, 26.721, 5000.000, 0.000
17.038, 22.460, 27.907, 5000.000, 0.000
17.839, 23.335, 29.093, 5000.000, 0.000
18.693, 24.153, 30.274, 5000.000, 0.000
19.567, 24.949, 31.454, 5000.000, 0.000
20.464, 25.721, 32.634, 5000.000, 0.000
21.338, 26.517, 33.816, 5000.000, 0.000
22.223, 27.301, 34.997, 5000.000, 0.000
23.121, 28.072, 36.179, 5000.000, 0.000
23.985, 28.879, 37.361, 5000.000, 0.000
24.849, 29.686, 38.544, 5000.000, 0.000
25.713, 30.493, 39.726, 5000.000, 0.000
26.577, 31.300, 40.908, 5000.000, 0.000
27.440, 32.108, 42.090, 5000.000, 0.000
28.304, 32.915, 43.273, 5000.000, 0.000
29.168, 33.722, 44.455, 5000.000, 0.000
30.032, 34.529, 45.637, 5000.000, 0.000
30.896, 35.336, 46.819, 5000.000, 0.000
31.760, 36.143, 48.002, 5000.000, 0.000
32.658, 36.914, 49.184, 5000.000, 0.000
33.543, 37.698, 50.366, 5000.000, 0.000
34.417, 38.495, 51.548, 5000.000, 0.000
35.280, 39.303, 52.731, 5000.000, 0.000
36.133, 40.122, 53.913, 5000.000, 0.000
36.977, 40.950, 55.096, 5000.000, 0.000
37.812, 41.787, 56.279, 5000.000, 0.000
38.641, 42.632, 57.462, 5000.000, 0.000
39.463, 43.484, 58.645, 5000.000, 0.000
40.280, 44.341, 59.829, 5000.000, 0.000
41.093, 45.204, 61.014, 5000.000, 0.000
41.901, 46.070, 62.198, 5000.000, 0.000
42.707, 46.939, 63.383, 5000.000, 0.000
43.512, 47.810, 64.568, 5000.000, 0.000
44.315, 48.681, 65.754, 5000.000, 0.000
45.118, 49.553, 66.939, 5000.000, 0.000
45.923, 50.424, 68.124, 5000.000, 0.000
46.729, 51.293, 69.309, 5000.000, 0.000
47.538, 52.159, 70.494, 5000.000, 0.000
48.350, 53.022, 71.679, 5000.000, 0.000
49.167, 53.879, 72.863, 5000.000, 0.000
