x, y, length, r, ctrl
-0.012, 0.011, 0.000, 5000.000, 0.000
0.795, 0.875, 1.182, 5000.000, 0.000
1.603, 1.738, 2.365, 5000.000, 0.000
2.412, 2.600, 3.547, 5000.000, 0.000
3.223, 3.461, 4.729, 5000.000, 0.000
4.034, 4.321, 5.911, 5000.000, 0.000
4.845, 5.181, 7.094, 5000.000, 0.000
5.658, 6.039, 8.276, 5000.000, 0.000
6.472, 6.897, 9.458, 5000.000, 0.000
7.287, 7.754, 10.640, 5000.000, 0.000
8.102, 8.610, 11.823, 5000.000, 0.000
8.919, 9.465, 13.005, 5000.000, 0.000
9.736, 10.319, 14.187, 5000.000, 0.000
10.554, 11.173, 15.370, 5000.000, 0.000
11.374, 12.025, 16.552, 5000.000, 0.000
12.622, 13.286, 18.326, 5000.000, 0.000
13.419, 14.159, 19.508, 5000.000, 0.000
14.227, 15.023, 20.690, 5000.000, 0.000
15.043, 15.878, 21.873, 5000.000, 0.000
15.866, 16.727, 23.055, 5000.000, 0.000
16.697, 17.569, 24.237, 5000.000, 0.000
17.533, 18.406, 25.420, 5000.000, 0.000
18.374, 19.238, 26.603, 5000.000, 0.000
19.219, 20.066, 27.786, 5000.000, 0.000
20.067, 20.892, 28.970, 5000.000, 0.000
20.916, 21.716, 30.153, 5000.000, 0.000
21.767, 22.540, 31.337, 5000.000, 0.000
22.618, 23.363, 32.521, 5000.000, 0.000
23.431, 24.221, 33.702, 5000.000, 0.000
24.256, 25.068, 34.885, 5000.000, 0.000
25.090, 25.907, 36.067, 5000.000, 0.000
25.969, 26.704, 37.253, 5000.000, 0.000
26.840, 27.508, 38.438, 5000.000, 0.000
27.753, 28.273, 39.626, 5000.000, 0.000
28.672, 29.032, 40.815, 5000.000, 0.000
29.546, 29.834, 42.000, 5000.000, 0.000
30.410, 30.644, 43.185, 5000.000, 0.000
31.263, 31.465, 44.369, 5000.000, 0.000
32.105, 32.296, 45.552, 5000.000, 0.000
32.935, 33.139, 46.734, 5000.000, 0.000
33.751, 33.995, 47.915, 5000.000, 0.000
34.552, 34.864, 49.095, 5000.000, 0.000
35.389, 35.700, 50.278, 5000.000, 0.000
36.225, 36.537, 51.461, 5000.000, 0.000
36.973, 37.456, 52.638, 5000.000, 0.000
37.718, 38.378, 53.823, 5000.000, 0.000
