x, y, length, r, ctrl
0.000, 0.000, 0.000, 5000.000, 0.000
0.839, 0.833, 1.182, 5000.000, 0.000
1.679, 1.665, 2.365, 5000.000, 0.000
2.518, 2.498, 3.547, 5000.000, 0.000
3.357, 3.331, 4.729, 5000.000, 0.000
4.197, 4.163, 5.911, 5000.000, 0.000
5.036, 4.996, 7.094, 5000.000, 0.000
5.875, 5.828, 8.276, 5000.000, 0.000
6.715, 6.661, 9.458, 5000.000, 0.000
7.554, 7.494, 10.640, 5000.000, 0.000
8.393, 8.326, 11.823, 5000.000, 0.000
9.233, 9.159, 13.005, 5000.000, 0.000
10.072, 9.992, 14.187, 5000.000, 0.000
10.911, 10.824, 15.369, 5000.000, 0.000
11.751, 11.657, 16.552, 5000.000, 0.000
13.010, 12.906, 18.325, 5000.000, 0.000
13.849, 13.738, 19.507, 5000.000, 0.000
14.688, 14.571, 20.690, 5000.000, 0.000
15.527, 15.404, 21.872, 5000.000, 0.000
16.367, 16.236, 23.054, 5000.000, 0.000
17.206, 17.069, 24.236, 5000.000, 0.000
18.045, 17.902, 25.419, 5000.000, 0.000
18.885, 18.734, 26.601, 5000.000, 0.000
19.724, 19.567, 27.783, 5000.000, 0.000
20.563, 20.400, 28.965, 5000.000, 0.000
21.403, 21.232, 30.148, 5000.000, 0.000
22.242, 22.065, 31.330, 5000.000, 0.000
23.081, 22.897, 32.512, 5000.000, 0.000
23.921, 23.730, 33.694, 5000.000, 0.000
24.760, 24.563, 34.877, 5000.000, 0.000
25.599, 25.395, 36.059, 5000.000, 0.000
26.439, 26.228, 37.241, 5000.000, 0.000
27.278, 27.061, 38.424, 5000.000, 0.000
28.117, 27.893, 39.606, 5000.000, 0.000
28.957, 28.726, 40.788, 5000.000, 0.000
29.796, 29.559, 41.970, 5000.000, 0.000
30.635, 30.391, 43.153, 5000.000, 0.000
31.475, 31.224, 44.335, 5000.000, 0.000
32.314, 32.056, 45.517, 5000.000, 0.000
33.153, 32.889, 46.699, 5000.000, 0.000
33.993, 33.722, 47.882, 5000.000, 0.000
34.832, 34.554, 49.064, 5000.000, 0.000
35.671, 35.387, 50.246, 5000.000, 0.000
36.511, 36.220, 51.428, 5000.000, 0.000
37.350, 37.052, 52.611, 5000.000, 0.000
38.189, 37.885, 53.793, 5000.000, 0.000
39.029, 38.718, 54.975, 5000.000, 0.000
39.868, 39.550, 56.157, 5000.000, 0.000
40.707, 40.383, 57.340, 5000.000, 0.000
41.547, 41.215, 58.522, 5000.000, 0.000
42.386, 42.048, 59.704, 5000.000, 0.000
43.225, 42.881, 60.887, 5000.000, 0.000
44.064, 43.713, 62.069, 5000.000, 0.000
44.904, 44.546, 63.251, 5000.000, 0.000
45.743, 45.379, 64.433, 5000.000, 0.000
46.582, 46.211, 65.616, 5000.000, 0.000
47.422, 47.044, 66.798, 5000.000, 0.000
48.261, 47.877, 67.980, 5000.000, 0.000
49.100, 48.709, 69.162, 5000.000, 0.000
49.940, 49.542, 70.345, 5000.000, 0.000
50.779, 50.374, 71.527, 5000.000, 0.000
51.618, 51.207, 72.709, 5000.000, 0.000
52.458, 52.040, 73.891, 5000.000, 0.000
53.297, 52.872, 75.074, 5000.000, 0.000
54.136, 53.705, 76.256, 5000.000, 0.000
54.976, 54.538, 77.438, 5000.000, 0.000
55.815, 55.370, 78.620, 5000.000, 0.000
56.654, 56.203, 79.803, 5000.000, 0.000
57.494, 57.036, 80.985, 5000.000, 0.000
58.333, 57.868, 82.167, 5000.000, 0.000
59.172, 58.701, 83.350, 5000.000, 0.000
60.012, 59.533, 84.532, 5000.000, 0.000
60.851, 60.366, 85.714, 5000.000, 0.000
61.690, 61.199, 86.896, 5000.000, 0.000
62.530, 62.031, 88.079, 5000.000, 0.000
63.369, 62.864, 89.261, 5000.000, 0.000
64.208, 63.697, 90.443, 5000.000, 0.000
65.048, 64.529, 91.625, 5000.000, 0.000
65.887, 65.362, 92.808, 5000.000, 0.000
66.726, 66.195, 93.990, 5000.000, 0.000
67.566, 67.027, 95.172, 5000.000, 0.000
