x, y, length, r, ctrl
0.129, -0.144, 0.000, 5000.000, 0.000
1.008, 0.646, 1.182, 5000.000, 0.000
1.885, 1.440, 2.365, 5000.000, 0.000
2.759, 2.236, 3.547, 5000.000, 0.000
3.630, 3.036, 4.729, 5000.000, 0.000
4.498, 3.839, 5.911, 5000.000, 0.000
5.363, 4.645, 7.094, 5000.000, 0.000
6.225, 5.454, 8.276, 5000.000, 0.000
7.085, 6.266, 9.459, 5000.000, 0.000
7.942, 7.082, 10.642, 5000.000, 0.000
8.795, 7.900, 11.824, 5000.000, 0.000
9.646, 8.722, 13.007, 5000.000, 0.000
10.494, 9.548, 14.190, 5000.000, 0.000
11.339, 10.376, 15.373, 5000.000, 0.000
12.182, 11.207, 16.556, 5000.000, 0.000
13.418, 12.485, 18.333, 5000.000, 0.000
14.231, 13.349, 19.517, 5000.000, 0.000
15.041, 14.217, 20.702, 5000.000, 0.000
15.849, 15.086, 21.888, 5000.000, 0.000
16.703, 15.905, 23.071, 5000.000, 0.000
17.524, 16.760, 24.255, 5000.000, 0.000
18.348, 17.612, 25.440, 5000.000, 0.000
19.174, 18.462, 26.625, 5000.000, 0.000
20.036, 19.271, 27.807, 5000.000, 0.000
20.891, 20.088, 28.990, 5000.000, 0.000
21.740, 20.913, 30.173, 5000.000, 0.000
22.584, 21.742, 31.357, 5000.000, 0.000
23.426, 22.575, 32.540, 5000.000, 0.000
24.266, 23.408, 33.724, 5000.000, 0.000
25.108, 24.240, 34.907, 5000.000, 0.000
25.952, 25.070, 36.091, 5000.000, 0.000
26.801, 25.894, 37.274, 5000.000, 0.000
27.656, 26.712, 38.457, 5000.000, 0.000
28.518, 27.520, 39.639, 5000.000, 0.000
29.344, 28.370, 40.824, 5000.000, 0.000
30.168, 29.223, 42.009, 5000.000, 0.000
30.989, 30.078, 43.193, 5000.000, 0.000
31.810, 30.933, 44.379, 5000.000, 0.000
32.630, 31.789, 45.564, 5000.000, 0.000
33.452, 32.644, 46.749, 5000.000, 0.000
34.308, 33.459, 47.931, 5000.000, 0.000
35.155, 34.286, 49.115, 5000.000, 0.000
35.994, 35.121, 50.299, 5000.000, 0.000
36.827, 35.963, 51.483, 5000.000, 0.000
37.655, 36.810, 52.667, 5000.000, 0.000
38.481, 37.660, 53.852, 5000.000, 0.000
39.306, 38.511, 55.038, 5000.000, 0.000
40.132, 39.361, 56.223, 5000.000, 0.000
40.960, 40.208, 57.407, 5000.000, 0.000
41.793, 41.050, 58.592, 5000.000, 0.000
42.632, 41.885, 59.775, 5000.000, 0.000
43.479, 42.712, 60.959, 5000.000, 0.000
44.335, 43.527, 62.141, 5000.000, 0.000
45.157, 44.382, 63.326, 5000.000, 0.000
45.977, 45.238, 64.512, 5000.000, 0.000
46.798, 46.094, 65.697, 5000.000, 0.000
47.653, 46.911, 66.879, 5000.000, 0.000
48.497, 47.740, 68.063, 5000.000, 0.000
49.333, 48.580, 69.247, 5000.000, 0.000
50.161, 49.427, 70.432, 5000.000, 0.000
50.984, 50.280, 71.617, 5000.000, 0.000
51.804, 51.136, 72.802, 5000.000, 0.000
52.621, 51.995, 73.988, 5000.000, 0.000
53.439, 52.854, 75.174, 5000.000, 0.000
54.259, 53.711, 76.359, 5000.000, 0.000
55.082, 54.564, 77.545, 5000.000, 0.000
55.910, 55.411, 78.729, 5000.000, 0.000
56.746, 56.250, 79.914, 5000.000, 0.000
57.590, 57.080, 81.097, 5000.000, 0.000
58.445, 57.897, 82.280, 5000.000, 0.000
59.265, 58.753, 83.465, 5000.000, 0.000
60.086, 59.608, 84.650, 5000.000, 0.000
60.907, 60.463, 85.836, 5000.000, 0.000
61.731, 61.316, 87.021, 5000.000, 0.000
62.557, 62.166, 88.206, 5000.000, 0.000
63.386, 63.012, 89.390, 5000.000, 0.000
64.253, 63.815, 90.572, 5000.000, 0.000
65.113, 64.627, 91.754, 5000.000, 0.000
65.968, 65.445, 92.936, 5000.000, 0.000
66.819, 66.266, 94.119, 5000.000, 0.000
67.669, 67.090, 95.302, 5000.000, 0.000
