x, y, length, r, ctrl
-0.438, 0.482, 0.000, 5000.000, 0.000
0.310, 1.417, 1.197, 5000.000, 0.000
1.064, 2.345, 2.393, 5000.000, 0.000
1.826, 3.265, 3.587, 5000.000, 0.000
2.593, 4.178, 4.780, 5000.000, 0.000
3.368, 5.084, 5.972, 5000.000, 0.000
4.149, 5.982, 7.162, 5000.000, 0.000
4.937, 6.873, 8.351, 5000.000, 0.000
5.732, 7.756, 9.538, 5000.000, 0.000
6.534, 8.632, 10.725, 5000.000, 0.000
7.342, 9.501, 11.911, 5000.000, 0.000
8.156, 10.362, 13.095, 5000.000, 0.000
8.978, 11.216, 14.279, 5000.000, 0.000
9.806, 12.063, 15.461, 5000.000, 0.000
10.641, 12.902, 16.643, 5000.000, 0.000
11.975, 14.071, 18.405, 5000.000, 0.000
12.852, 14.864, 19.582, 5000.000, 0.000
13.726, 15.661, 20.760, 5000.000, 0.000
14.599, 16.458, 21.939, 5000.000, 0.000
15.472, 17.254, 23.118, 5000.000, 0.000
16.349, 18.048, 24.297, 5000.000, 0.000
17.230, 18.836, 25.476, 5000.000, 0.000
18.070, 19.669, 26.659, 5000.000, 0.000
18.904, 20.509, 27.843, 5000.000, 0.000
19.733, 21.355, 29.027, 5000.000, 0.000
20.557, 22.206, 30.212, 5000.000, 0.000
21.378, 23.061, 31.397, 5000.000, 0.000
22.196, 23.918, 32.582, 5000.000, 0.000
23.013, 24.778, 33.767, 5000.000, 0.000
23.828, 25.639, 34.953, 5000.000, 0.000
24.644, 26.499, 36.138, 5000.000, 0.000
25.460, 27.359, 37.324, 5000.000, 0.000
26.278, 28.216, 38.509, 5000.000, 0.000
27.099, 29.071, 39.694, 5000.000, 0.000
27.923, 29.922, 40.879, 5000.000, 0.000
28.752, 30.768, 42.063, 5000.000, 0.000
29.586, 31.608, 43.247, 5000.000, 0.000
30.427, 32.441, 44.430, 5000.000, 0.000
31.308, 33.230, 45.609, 5000.000, 0.000
32.184, 34.023, 46.789, 5000.000, 0.000
33.058, 34.819, 47.970, 5000.000, 0.000
33.931, 35.617, 49.151, 5000.000, 0.000
34.805, 36.413, 50.332, 5000.000, 0.000
35.681, 37.206, 51.513, 5000.000, 0.000
36.562, 37.995, 52.693, 5000.000, 0.000
37.403, 38.828, 53.877, 5000.000, 0.000
38.237, 39.668, 55.060, 5000.000, 0.000
39.066, 40.514, 56.245, 5000.000, 0.000
39.890, 41.365, 57.429, 5000.000, 0.000
40.711, 42.220, 58.614, 5000.000, 0.000
41.529, 43.077, 59.799, 5000.000, 0.000
42.345, 43.937, 60.985, 5000.000, 0.000
43.161, 44.797, 62.170, 5000.000, 0.000
43.976, 45.658, 63.356, 5000.000, 0.000
44.793, 46.518, 64.541, 5000.000, 0.000
45.611, 47.375, 65.726, 5000.000, 0.000
46.432, 48.230, 66.911, 5000.000, 0.000
47.256, 49.081, 68.096, 5000.000, 0.000
48.118, 49.890, 69.277, 5000.000, 0.000
48.973, 50.707, 70.459, 5000.000, 0.000
49.823, 51.529, 71.641, 5000.000, 0.000
50.670, 52.356, 72.824, 5000.000, 0.000
51.514, 53.184, 74.007, 5000.000, 0.000
52.359, 54.013, 75.190, 5000.000, 0.000
53.205, 54.840, 76.373, 5000.000, 0.000
54.055, 55.662, 77.556, 5000.000, 0.000
54.910, 56.479, 78.738, 5000.000, 0.000
55.773, 57.288, 79.920, 5000.000, 0.000
56.597, 58.139, 81.104, 5000.000, 0.000
57.418, 58.994, 82.289, 5000.000, 0.000
58.236, 59.851, 83.474, 5000.000, 0.000
59.052, 60.711, 84.659, 5000.000, 0.000
59.868, 61.571, 85.845, 5000.000, 0.000
60.683, 62.432, 87.030, 5000.000, 0.000
61.500, 63.292, 88.216, 5000.000, 0.000
62.318, 64.149, 89.401, 5000.000, 0.000
63.172, 64.967, 90.583, 5000.000, 0.000
64.018, 65.795, 91.766, 5000.000, 0.000
64.856, 66.630, 92.949, 5000.000, 0.000
65.689, 67.471, 94.133, 5000.000, 0.000
66.519, 68.316, 95.317, 5000.000, 0.000
67.346, 69.163, 96.501, 5000.000, 0.000
68.174, 70.011, 97.686, 5000.000, 0.000
69.004, 70.856, 98.870, 5000.000, 0.000
69.837, 71.697, 100.054, 5000.000, 0.000
70.675, 72.532, 101.237, 5000.000, 0.000
71.521, 73.360, 102.420, 5000.000, 0.000
72.375, 74.178, 103.602, 5000.000, 0.000
73.193, 75.035, 104.787, 5000.000, 0.000
74.009, 75.895, 105.973, 5000.000, 0.000
74.825, 76.755, 107.159, 5000.000, 0.000
75.640, 77.616, 108.344, 5000.000, 0.000
76.457, 78.476, 109.530, 5000.000, 0.000
77.275, 79.333, 110.715, 5000.000, 0.000
78.096, 80.188, 111.900, 5000.000, 0.000
78.920, 81.039, 113.085, 5000.000, 0.000
79.749, 81.885, 114.269, 5000.000, 0.000
80.583, 82.725, 115.452, 5000.000, 0.000
81.423, 83.558, 116.635, 5000.000, 0.000
82.271, 84.383, 117.818, 5000.000, 0.000
83.126, 85.200, 119.000, 5000.000, 0.000
84.024, 85.970, 120.178, 5000.000, 0.000
84.919, 86.743, 121.358, 5000.000, 0.000
85.813, 87.517, 122.537, 5000.000, 0.000
86.709, 88.290, 123.718, 5000.000, 0.000
87.606, 89.060, 124.898, 5000.000, 0.000
88.462, 89.876, 126.080, 5000.000, 0.000
89.309, 90.702, 127.263, 5000.000, 0.000
90.150, 91.535, 128.447, 5000.000, 0.000
90.984, 92.375, 129.630, 5000.000, 0.000
91.812, 93.221, 130.814, 5000.000, 0.000
92.637, 94.072, 131.999, 5000.000, 0.000
93.458, 94.926, 133.184, 5000.000, 0.000
94.276, 95.784, 134.369, 5000.000, 0.000
95.092, 96.644, 135.555, 5000.000, 0.000
95.908, 97.504, 136.740, 5000.000, 0.000
96.723, 98.365, 137.926, 5000.000, 0.000
97.539, 99.224, 139.111, 5000.000, 0.000
98.358, 100.082, 140.297, 5000.000, 0.000
99.178, 100.937, 141.482, 5000.000, 0.000
100.036, 101.751, 142.663, 5000.000, 0.000
100.886, 102.573, 143.845, 5000.000, 0.000
101.730, 103.403, 145.028, 5000.000, 0.000
102.569, 104.237, 146.211, 5000.000, 0.000
103.406, 105.075, 147.395, 5000.000, 0.000
104.241, 105.913, 148.579, 5000.000, 0.000
105.078, 106.750, 149.762, 5000.000, 0.000
105.917, 107.585, 150.946, 5000.000, 0.000
106.761, 108.414, 152.129, 5000.000, 0.000
107.611, 109.237, 153.311, 5000.000, 0.000
108.469, 110.051, 154.493, 5000.000, 0.000
109.290, 110.905, 155.678, 5000.000, 0.000
110.108, 111.763, 156.863, 5000.000, 0.000
110.924, 112.623, 158.048, 5000.000, 0.000
111.740, 113.483, 159.234, 5000.000, 0.000
112.555, 114.344, 160.420, 5000.000, 0.000
113.372, 115.203, 161.605, 5000.000, 0.000
114.190, 116.061, 162.790, 5000.000, 0.000
115.010, 116.916, 163.975, 5000.000, 0.000
115.835, 117.767, 165.160, 5000.000, 0.000
116.664, 118.612, 166.344, 5000.000, 0.000
117.498, 119.453, 167.528, 5000.000, 0.000
118.372, 120.249, 168.708, 5000.000, 0.000
119.240, 121.051, 169.889, 5000.000, 0.000
120.105, 121.857, 171.070, 5000.000, 0.000
120.968, 122.665, 172.252, 5000.000, 0.000
121.832, 123.473, 173.433, 5000.000, 0.000
122.697, 124.279, 174.615, 5000.000, 0.000
123.565, 125.081, 175.797, 5000.000, 0.000
124.439, 125.878, 176.978, 5000.000, 0.000
125.273, 126.718, 178.162, 5000.000, 0.000
126.102, 127.564, 179.346, 5000.000, 0.000
126.926, 128.415, 180.530, 5000.000, 0.000
127.747, 129.269, 181.715, 5000.000, 0.000
128.565, 130.127, 182.900, 5000.000, 0.000
129.382, 130.986, 184.085, 5000.000, 0.000
130.197, 131.847, 185.271, 5000.000, 0.000
131.013, 132.708, 186.456, 5000.000, 0.000
131.829, 133.567, 187.642, 5000.000, 0.000
132.647, 134.425, 188.827, 5000.000, 0.000
133.468, 135.280, 190.012, 5000.000, 0.000
134.326, 136.093, 191.193, 5000.000, 0.000
135.176, 136.916, 192.376, 5000.000, 0.000
135.986, 137.783, 193.562, 5000.000, 0.000
136.838, 138.603, 194.744, 5000.000, 0.000
137.686, 139.428, 195.926, 5000.000, 0.000
138.532, 140.255, 197.109, 5000.000, 0.000
139.378, 141.081, 198.292, 5000.000, 0.000
140.226, 141.906, 199.475, 5000.000, 0.000
141.078, 142.726, 200.657, 5000.000, 0.000
141.935, 143.541, 201.839, 5000.000, 0.000
142.799, 144.348, 203.021, 5000.000, 0.000
143.625, 145.197, 204.205, 5000.000, 0.000
144.448, 146.050, 205.390, 5000.000, 0.000
145.268, 146.906, 206.575, 5000.000, 0.000
146.086, 147.763, 207.760, 5000.000, 0.000
146.903, 148.622, 208.945, 5000.000, 0.000
147.721, 149.481, 210.130, 5000.000, 0.000
148.539, 150.338, 211.316, 5000.000, 0.000
149.359, 151.194, 212.501, 5000.000, 0.000
150.181, 152.047, 213.686, 5000.000, 0.000
151.007, 152.896, 214.870, 5000.000, 0.000
151.871, 153.703, 216.051, 5000.000, 0.000
152.728, 154.518, 217.233, 5000.000, 0.000
153.580, 155.338, 218.415, 5000.000, 0.000
154.428, 156.163, 219.598, 5000.000, 0.000
155.275, 156.989, 220.781, 5000.000, 0.000
156.121, 157.816, 221.964, 5000.000, 0.000
156.969, 158.641, 223.147, 5000.000, 0.000
157.821, 159.461, 224.329, 5000.000, 0.000
158.678, 160.276, 225.512, 5000.000, 0.000
159.495, 161.135, 226.697, 5000.000, 0.000
160.307, 161.999, 227.882, 5000.000, 0.000
161.161, 162.817, 229.064, 5000.000, 0.000
161.980, 163.675, 230.249, 5000.000, 0.000
162.796, 164.534, 231.434, 5000.000, 0.000
163.611, 165.395, 232.620, 5000.000, 0.000
164.427, 166.256, 233.805, 5000.000, 0.000
