x, y, length, r, ctrl
-0.060, 0.066, 0.000, 5000.000, 0.000
0.775, 0.905, 1.184, 5000.000, 0.000
1.610, 1.745, 2.368, 5000.000, 0.000
2.443, 2.586, 3.552, 5000.000, 0.000
3.276, 3.427, 4.736, 5000.000, 0.000
4.109, 4.270, 5.920, 5000.000, 0.000
4.940, 5.113, 7.104, 5000.000, 0.000
5.770, 5.957, 8.288, 5000.000, 0.000
6.600, 6.802, 9.473, 5000.000, 0.000
7.429, 7.648, 10.657, 5000.000, 0.000
8.258, 8.495, 11.842, 5000.000, 0.000
9.085, 9.343, 13.026, 5000.000, 0.000
9.912, 10.191, 14.211, 5000.000, 0.000
10.737, 11.040, 15.395, 5000.000, 0.000
11.563, 11.891, 16.580, 5000.000, 0.000
12.800, 13.167, 18.357, 5000.000, 0.000
13.626, 14.016, 19.542, 5000.000, 0.000
14.454, 14.862, 20.726, 5000.000, 0.000
15.287, 15.704, 21.910, 5000.000, 0.000
16.126, 16.539, 23.094, 5000.000, 0.000
16.927, 17.416, 24.281, 5000.000, 0.000
17.723, 18.298, 25.468, 5000.000, 0.000
18.562, 19.133, 26.652, 5000.000, 0.000
19.412, 19.955, 27.835, 5000.000, 0.000
20.230, 20.814, 29.020, 5000.000, 0.000
21.048, 21.672, 30.205, 5000.000, 0.000
21.868, 22.528, 31.390, 5000.000, 0.000
22.690, 23.381, 32.575, 5000.000, 0.000
23.516, 24.230, 33.760, 5000.000, 0.000
24.347, 25.075, 34.944, 5000.000, 0.000
25.182, 25.913, 36.128, 5000.000, 0.000
26.058, 26.708, 37.308, 5000.000, 0.000
26.928, 27.508, 38.489, 5000.000, 0.000
27.795, 28.312, 39.671, 5000.000, 0.000
28.659, 29.119, 40.853, 5000.000, 0.000
29.524, 29.925, 42.035, 5000.000, 0.000
30.391, 30.729, 43.217, 5000.000, 0.000
31.261, 31.530, 44.398, 5000.000, 0.000
32.136, 32.324, 45.580, 5000.000, 0.000
32.972, 33.163, 46.764, 5000.000, 0.000
33.803, 34.007, 47.948, 5000.000, 0.000
34.629, 34.856, 49.132, 5000.000, 0.000
35.451, 35.709, 50.316, 5000.000, 0.000
36.271, 36.565, 51.501, 5000.000, 0.000
37.089, 37.423, 52.686, 5000.000, 0.000
37.906, 38.282, 53.872, 5000.000, 0.000
38.724, 39.141, 55.057, 5000.000, 0.000
39.542, 39.999, 56.243, 5000.000, 0.000
40.362, 40.855, 57.428, 5000.000, 0.000
41.184, 41.708, 58.613, 5000.000, 0.000
42.044, 42.520, 59.794, 5000.000, 0.000
42.895, 43.341, 60.977, 5000.000, 0.000
43.740, 44.169, 62.160, 5000.000, 0.000
44.581, 45.002, 63.343, 5000.000, 0.000
45.420, 45.838, 64.527, 5000.000, 0.000
46.257, 46.674, 65.710, 5000.000, 0.000
47.095, 47.510, 66.894, 5000.000, 0.000
47.936, 48.343, 68.077, 5000.000, 0.000
48.782, 49.170, 69.260, 5000.000, 0.000
49.633, 49.991, 70.443, 5000.000, 0.000
50.493, 50.804, 71.625, 5000.000, 0.000
51.315, 51.657, 72.810, 5000.000, 0.000
52.135, 52.513, 73.995, 5000.000, 0.000
52.953, 53.371, 75.180, 5000.000, 0.000
53.770, 54.230, 76.366, 5000.000, 0.000
54.588, 55.088, 77.551, 5000.000, 0.000
55.406, 55.946, 78.736, 5000.000, 0.000
56.225, 56.802, 79.921, 5000.000, 0.000
57.081, 57.619, 81.103, 5000.000, 0.000
57.929, 58.444, 82.287, 5000.000, 0.000
58.769, 59.278, 83.470, 5000.000, 0.000
59.603, 60.118, 84.654, 5000.000, 0.000
60.435, 60.961, 85.838, 5000.000, 0.000
61.264, 61.807, 87.022, 5000.000, 0.000
62.093, 62.652, 88.207, 5000.000, 0.000
62.925, 63.496, 89.391, 5000.000, 0.000
63.759, 64.335, 90.575, 5000.000, 0.000
64.599, 65.169, 91.758, 5000.000, 0.000
65.446, 65.995, 92.941, 5000.000, 0.000
66.302, 66.811, 94.124, 5000.000, 0.000
67.122, 67.667, 95.309, 5000.000, 0.000
67.940, 68.525, 96.494, 5000.000, 0.000
68.758, 69.384, 97.679, 5000.000, 0.000
69.575, 70.243, 98.864, 5000.000, 0.000
70.393, 71.101, 100.050, 5000.000, 0.000
71.213, 71.957, 101.235, 5000.000, 0.000
72.035, 72.810, 102.420, 5000.000, 0.000
72.895, 73.622, 103.602, 5000.000, 0.000
73.746, 74.443, 104.784, 5000.000, 0.000
74.592, 75.271, 105.967, 5000.000, 0.000
75.433, 76.103, 107.151, 5000.000, 0.000
76.271, 76.939, 108.334, 5000.000, 0.000
77.108, 77.776, 109.518, 5000.000, 0.000
77.946, 78.611, 110.702, 5000.000, 0.000
78.787, 79.444, 111.885, 5000.000, 0.000
79.633, 80.272, 113.068, 5000.000, 0.000
80.484, 81.093, 114.251, 5000.000, 0.000
81.344, 81.905, 115.433, 5000.000, 0.000
82.166, 82.758, 116.618, 5000.000, 0.000
82.986, 83.614, 117.803, 5000.000, 0.000
83.804, 84.472, 118.988, 5000.000, 0.000
84.621, 85.331, 120.173, 5000.000, 0.000
85.439, 86.190, 121.358, 5000.000, 0.000
86.257, 87.048, 122.544, 5000.000, 0.000
87.077, 87.904, 123.729, 5000.000, 0.000
87.899, 88.757, 124.914, 5000.000, 0.000
88.759, 89.569, 126.096, 5000.000, 0.000
89.610, 90.390, 127.278, 5000.000, 0.000
90.456, 91.218, 128.461, 5000.000, 0.000
91.296, 92.051, 129.645, 5000.000, 0.000
92.135, 92.887, 130.828, 5000.000, 0.000
92.972, 93.723, 132.012, 5000.000, 0.000
93.810, 94.559, 133.196, 5000.000, 0.000
94.651, 95.392, 134.379, 5000.000, 0.000
95.497, 96.219, 135.562, 5000.000, 0.000
96.348, 97.040, 136.745, 5000.000, 0.000
97.208, 97.853, 137.927, 5000.000, 0.000
98.030, 98.706, 139.112, 5000.000, 0.000
98.850, 99.562, 140.297, 5000.000, 0.000
