x, y, length, r, ctrl
-0.882, 0.975, 0.000, 5000.000, 0.000
-0.129, 1.905, 1.196, 5000.000, 0.000
0.628, 2.830, 2.392, 5000.000, 0.000
1.390, 3.751, 3.587, 5000.000, 0.000
2.155, 4.667, 4.781, 5000.000, 0.000
2.924, 5.579, 5.974, 5000.000, 0.000
3.697, 6.487, 7.166, 5000.000, 0.000
4.474, 7.391, 8.357, 5000.000, 0.000
5.254, 8.290, 9.548, 5000.000, 0.000
6.039, 9.185, 10.738, 5000.000, 0.000
6.828, 10.075, 11.927, 5000.000, 0.000
7.620, 10.962, 13.116, 5000.000, 0.000
8.416, 11.844, 14.303, 5000.000, 0.000
9.217, 12.721, 15.491, 5000.000, 0.000
10.021, 13.595, 16.677, 5000.000, 0.000
11.299, 14.826, 18.445, 5000.000, 0.000
12.148, 15.649, 19.624, 5000.000, 0.000
12.962, 16.511, 20.810, 5000.000, 0.000
13.777, 17.373, 21.995, 5000.000, 0.000
14.593, 18.233, 23.180, 5000.000, 0.000
15.413, 19.089, 24.365, 5000.000, 0.000
16.238, 19.940, 25.549, 5000.000, 0.000
17.070, 20.782, 26.732, 5000.000, 0.000
17.911, 21.615, 27.915, 5000.000, 0.000
18.762, 22.436, 29.098, 5000.000, 0.000
19.579, 23.295, 30.283, 5000.000, 0.000
20.397, 24.154, 31.469, 5000.000, 0.000
21.215, 25.012, 32.654, 5000.000, 0.000
22.035, 25.868, 33.839, 5000.000, 0.000
22.857, 26.721, 35.024, 5000.000, 0.000
23.683, 27.570, 36.209, 5000.000, 0.000
24.514, 28.414, 37.393, 5000.000, 0.000
25.349, 29.253, 38.577, 5000.000, 0.000
26.191, 30.084, 39.760, 5000.000, 0.000
27.074, 30.871, 40.940, 5000.000, 0.000
27.952, 31.663, 42.120, 5000.000, 0.000
28.827, 32.457, 43.301, 5000.000, 0.000
29.702, 33.253, 44.483, 5000.000, 0.000
30.577, 34.047, 45.664, 5000.000, 0.000
31.456, 34.839, 46.845, 5000.000, 0.000
32.338, 35.626, 48.026, 5000.000, 0.000
33.180, 36.457, 49.210, 5000.000, 0.000
34.016, 37.296, 50.393, 5000.000, 0.000
34.846, 38.140, 51.577, 5000.000, 0.000
35.672, 38.989, 52.762, 5000.000, 0.000
36.495, 39.842, 53.947, 5000.000, 0.000
37.315, 40.698, 55.132, 5000.000, 0.000
38.133, 41.556, 56.317, 5000.000, 0.000
38.950, 42.415, 57.503, 5000.000, 0.000
39.767, 43.274, 58.689, 5000.000, 0.000
40.585, 44.132, 59.874, 5000.000, 0.000
41.405, 44.988, 61.059, 5000.000, 0.000
42.228, 45.841, 62.244, 5000.000, 0.000
43.054, 46.690, 63.429, 5000.000, 0.000
43.884, 47.535, 64.613, 5000.000, 0.000
44.754, 48.336, 65.794, 5000.000, 0.000
45.617, 49.144, 66.975, 5000.000, 0.000
46.475, 49.957, 68.157, 5000.000, 0.000
47.331, 50.773, 69.339, 5000.000, 0.000
48.186, 51.591, 70.521, 5000.000, 0.000
49.042, 52.407, 71.703, 5000.000, 0.000
49.901, 53.220, 72.885, 5000.000, 0.000
50.764, 54.028, 74.067, 5000.000, 0.000
51.633, 54.829, 75.249, 5000.000, 0.000
52.464, 55.674, 76.433, 5000.000, 0.000
53.290, 56.523, 77.617, 5000.000, 0.000
54.112, 57.376, 78.802, 5000.000, 0.000
54.932, 58.232, 79.987, 5000.000, 0.000
55.750, 59.090, 81.173, 5000.000, 0.000
56.567, 59.949, 82.358, 5000.000, 0.000
57.385, 60.808, 83.544, 5000.000, 0.000
58.203, 61.666, 84.730, 5000.000, 0.000
59.023, 62.522, 85.915, 5000.000, 0.000
59.845, 63.375, 87.100, 5000.000, 0.000
60.705, 64.187, 88.281, 5000.000, 0.000
61.556, 65.008, 89.463, 5000.000, 0.000
62.401, 65.836, 90.646, 5000.000, 0.000
63.209, 66.706, 91.833, 5000.000, 0.000
64.060, 67.528, 93.015, 5000.000, 0.000
64.908, 68.352, 94.198, 5000.000, 0.000
65.757, 69.175, 95.380, 5000.000, 0.000
66.608, 69.997, 96.563, 5000.000, 0.000
67.462, 70.815, 97.745, 5000.000, 0.000
68.322, 71.628, 98.927, 5000.000, 0.000
69.188, 72.432, 100.109, 5000.000, 0.000
70.017, 73.278, 101.293, 5000.000, 0.000
70.842, 74.128, 102.478, 5000.000, 0.000
71.665, 74.981, 103.663, 5000.000, 0.000
72.485, 75.836, 104.848, 5000.000, 0.000
73.305, 76.692, 106.033, 5000.000, 0.000
74.125, 77.548, 107.218, 5000.000, 0.000
74.946, 78.403, 108.403, 5000.000, 0.000
75.768, 79.257, 109.588, 5000.000, 0.000
76.594, 80.107, 110.773, 5000.000, 0.000
77.422, 80.953, 111.957, 5000.000, 0.000
78.255, 81.794, 113.141, 5000.000, 0.000
79.094, 82.630, 114.325, 5000.000, 0.000
79.939, 83.458, 115.508, 5000.000, 0.000
80.824, 84.242, 116.687, 5000.000, 0.000
81.705, 85.031, 117.868, 5000.000, 0.000
82.583, 85.822, 119.049, 5000.000, 0.000
83.460, 86.615, 120.230, 5000.000, 0.000
84.338, 87.407, 121.411, 5000.000, 0.000
85.219, 88.195, 122.592, 5000.000, 0.000
86.057, 89.031, 123.776, 5000.000, 0.000
86.888, 89.875, 124.960, 5000.000, 0.000
87.711, 90.727, 126.144, 5000.000, 0.000
88.575, 91.535, 127.326, 5000.000, 0.000
89.401, 92.384, 128.511, 5000.000, 0.000
90.224, 93.237, 129.695, 5000.000, 0.000
91.043, 94.093, 130.880, 5000.000, 0.000
91.861, 94.951, 132.066, 5000.000, 0.000
92.679, 95.810, 133.251, 5000.000, 0.000
93.496, 96.669, 134.437, 5000.000, 0.000
94.314, 97.527, 135.622, 5000.000, 0.000
95.134, 98.383, 136.807, 5000.000, 0.000
95.956, 99.236, 137.992, 5000.000, 0.000
96.782, 100.085, 139.177, 5000.000, 0.000
97.613, 100.929, 140.361, 5000.000, 0.000
98.449, 101.768, 141.545, 5000.000, 0.000
99.291, 102.599, 142.728, 5000.000, 0.000
100.140, 103.423, 143.910, 5000.000, 0.000
100.997, 104.238, 145.092, 5000.000, 0.000
101.896, 105.006, 146.271, 5000.000, 0.000
102.793, 105.777, 147.450, 5000.000, 0.000
103.689, 106.549, 148.630, 5000.000, 0.000
104.585, 107.320, 149.810, 5000.000, 0.000
105.485, 108.088, 150.990, 5000.000, 0.000
106.342, 108.903, 152.173, 5000.000, 0.000
107.191, 109.727, 153.356, 5000.000, 0.000
108.033, 110.558, 154.539, 5000.000, 0.000
108.869, 111.397, 155.723, 5000.000, 0.000
109.699, 112.241, 156.907, 5000.000, 0.000
110.525, 113.090, 158.092, 5000.000, 0.000
111.348, 113.943, 159.277, 5000.000, 0.000
112.167, 114.799, 160.462, 5000.000, 0.000
112.986, 115.657, 161.647, 5000.000, 0.000
113.803, 116.516, 162.833, 5000.000, 0.000
114.620, 117.375, 164.018, 5000.000, 0.000
115.438, 118.233, 165.204, 5000.000, 0.000
116.258, 119.089, 166.389, 5000.000, 0.000
117.080, 119.942, 167.574, 5000.000, 0.000
117.906, 120.791, 168.759, 5000.000, 0.000
118.737, 121.636, 169.943, 5000.000, 0.000
119.606, 122.437, 171.123, 5000.000, 0.000
120.469, 123.245, 172.305, 5000.000, 0.000
121.328, 124.059, 173.486, 5000.000, 0.000
122.184, 124.875, 174.669, 5000.000, 0.000
123.039, 125.692, 175.851, 5000.000, 0.000
123.895, 126.508, 177.033, 5000.000, 0.000
124.754, 127.321, 178.215, 5000.000, 0.000
125.617, 128.129, 179.397, 5000.000, 0.000
126.486, 128.931, 180.578, 5000.000, 0.000
127.316, 129.775, 181.763, 5000.000, 0.000
128.142, 130.624, 182.947, 5000.000, 0.000
128.965, 131.477, 184.132, 5000.000, 0.000
129.785, 132.333, 185.317, 5000.000, 0.000
130.603, 133.191, 186.503, 5000.000, 0.000
131.420, 134.050, 187.688, 5000.000, 0.000
132.237, 134.909, 188.874, 5000.000, 0.000
133.055, 135.767, 190.059, 5000.000, 0.000
133.875, 136.623, 191.245, 5000.000, 0.000
134.731, 137.439, 192.426, 5000.000, 0.000
135.578, 138.265, 193.609, 5000.000, 0.000
136.418, 139.099, 194.792, 5000.000, 0.000
137.253, 139.938, 195.976, 5000.000, 0.000
138.084, 140.782, 197.160, 5000.000, 0.000
138.914, 141.627, 198.345, 5000.000, 0.000
139.743, 142.473, 199.529, 5000.000, 0.000
140.574, 143.316, 200.713, 5000.000, 0.000
141.409, 144.156, 201.897, 5000.000, 0.000
142.249, 144.989, 203.081, 5000.000, 0.000
143.096, 145.815, 204.263, 5000.000, 0.000
143.952, 146.631, 205.445, 5000.000, 0.000
144.772, 147.487, 206.631, 5000.000, 0.000
145.590, 148.345, 207.816, 5000.000, 0.000
146.407, 149.204, 209.001, 5000.000, 0.000
147.224, 150.063, 210.187, 5000.000, 0.000
148.043, 150.921, 211.372, 5000.000, 0.000
148.862, 151.777, 212.558, 5000.000, 0.000
149.685, 152.630, 213.743, 5000.000, 0.000
150.511, 153.479, 214.927, 5000.000, 0.000
151.341, 154.324, 216.112, 5000.000, 0.000
152.211, 155.125, 217.292, 5000.000, 0.000
153.074, 155.933, 218.474, 5000.000, 0.000
153.932, 156.747, 219.656, 5000.000, 0.000
154.788, 157.563, 220.838, 5000.000, 0.000
155.643, 158.380, 222.020, 5000.000, 0.000
156.499, 159.196, 223.203, 5000.000, 0.000
157.358, 160.009, 224.385, 5000.000, 0.000
