x, y, length, r, ctrl
-0.139, 0.153, 0.000, 5000.000, 0.000
0.684, 1.005, 1.185, 5000.000, 0.000
1.508, 1.856, 2.369, 5000.000, 0.000
2.334, 2.706, 3.554, 5000.000, 0.000
3.160, 3.554, 4.738, 5000.000, 0.000
3.988, 4.401, 5.923, 5000.000, 0.000
4.817, 5.247, 7.107, 5000.000, 0.000
5.647, 6.092, 8.291, 5000.000, 0.000
6.478, 6.935, 9.475, 5000.000, 0.000
7.310, 7.778, 10.659, 5000.000, 0.000
8.143, 8.619, 11.843, 5000.000, 0.000
8.977, 9.459, 13.027, 5000.000, 0.000
9.813, 10.297, 14.211, 5000.000, 0.000
10.649, 11.135, 15.394, 5000.000, 0.000
11.487, 11.971, 16.578, 5000.000, 0.000
12.769, 13.197, 18.351, 5000.000, 0.000
13.632, 14.005, 19.533, 5000.000, 0.000
14.497, 14.811, 20.714, 5000.000, 0.000
15.366, 15.613, 21.896, 5000.000, 0.000
16.240, 16.409, 23.077, 5000.000, 0.000
17.074, 17.249, 24.260, 5000.000, 0.000
17.903, 18.095, 25.445, 5000.000, 0.000
18.727, 18.946, 26.629, 5000.000, 0.000
19.548, 19.801, 27.814, 5000.000, 0.000
20.366, 20.658, 28.999, 5000.000, 0.000
21.182, 21.518, 30.185, 5000.000, 0.000
21.998, 22.379, 31.370, 5000.000, 0.000
22.813, 23.239, 32.556, 5000.000, 0.000
23.630, 24.099, 33.742, 5000.000, 0.000
24.448, 24.956, 34.927, 5000.000, 0.000
25.269, 25.811, 36.112, 5000.000, 0.000
26.093, 26.662, 37.296, 5000.000, 0.000
26.922, 27.508, 38.481, 5000.000, 0.000
27.756, 28.348, 39.664, 5000.000, 0.000
28.630, 29.144, 40.844, 5000.000, 0.000
29.498, 29.946, 42.025, 5000.000, 0.000
30.363, 30.753, 43.206, 5000.000, 0.000
31.227, 31.561, 44.388, 5000.000, 0.000
32.090, 32.369, 45.569, 5000.000, 0.000
32.955, 33.175, 46.751, 5000.000, 0.000
33.823, 33.977, 47.932, 5000.000, 0.000
34.697, 34.773, 49.113, 5000.000, 0.000
35.531, 35.613, 50.297, 5000.000, 0.000
36.360, 36.459, 51.481, 5000.000, 0.000
37.184, 37.310, 52.666, 5000.000, 0.000
38.005, 38.165, 53.851, 5000.000, 0.000
38.823, 39.022, 55.036, 5000.000, 0.000
39.640, 39.882, 56.222, 5000.000, 0.000
40.455, 40.743, 57.407, 5000.000, 0.000
41.271, 41.603, 58.593, 5000.000, 0.000
42.087, 42.463, 59.778, 5000.000, 0.000
42.905, 43.320, 60.963, 5000.000, 0.000
43.726, 44.175, 62.148, 5000.000, 0.000
44.584, 44.989, 63.330, 5000.000, 0.000
45.434, 45.812, 64.512, 5000.000, 0.000
46.278, 46.641, 65.695, 5000.000, 0.000
47.117, 47.476, 66.878, 5000.000, 0.000
47.953, 48.313, 68.062, 5000.000, 0.000
48.789, 49.151, 69.245, 5000.000, 0.000
49.626, 49.989, 70.429, 5000.000, 0.000
50.465, 50.823, 71.612, 5000.000, 0.000
51.309, 51.652, 72.795, 5000.000, 0.000
52.159, 52.475, 73.978, 5000.000, 0.000
53.017, 53.289, 75.160, 5000.000, 0.000
53.837, 54.144, 76.345, 5000.000, 0.000
54.655, 55.001, 77.530, 5000.000, 0.000
55.472, 55.861, 78.715, 5000.000, 0.000
56.287, 56.722, 79.901, 5000.000, 0.000
57.103, 57.582, 81.086, 5000.000, 0.000
57.919, 58.442, 82.272, 5000.000, 0.000
58.737, 59.299, 83.457, 5000.000, 0.000
59.558, 60.154, 84.642, 5000.000, 0.000
60.383, 61.005, 85.827, 5000.000, 0.000
61.211, 61.851, 87.011, 5000.000, 0.000
62.079, 62.654, 88.191, 5000.000, 0.000
62.940, 63.464, 89.373, 5000.000, 0.000
63.797, 64.279, 90.555, 5000.000, 0.000
64.652, 65.097, 91.737, 5000.000, 0.000
65.505, 65.915, 92.919, 5000.000, 0.000
66.360, 66.733, 94.102, 5000.000, 0.000
67.217, 67.548, 95.284, 5000.000, 0.000
68.078, 68.358, 96.466, 5000.000, 0.000
68.946, 69.161, 97.648, 5000.000, 0.000
69.774, 70.007, 98.832, 5000.000, 0.000
70.599, 70.858, 100.016, 5000.000, 0.000
71.420, 71.713, 101.201, 5000.000, 0.000
72.238, 72.570, 102.386, 5000.000, 0.000
73.054, 73.430, 103.571, 5000.000, 0.000
73.870, 74.290, 104.756, 5000.000, 0.000
74.685, 75.151, 105.941, 5000.000, 0.000
75.501, 76.011, 107.127, 5000.000, 0.000
76.320, 76.868, 108.312, 5000.000, 0.000
77.140, 77.723, 109.497, 5000.000, 0.000
77.965, 78.574, 110.682, 5000.000, 0.000
78.794, 79.420, 111.866, 5000.000, 0.000
79.661, 80.223, 113.047, 5000.000, 0.000
80.523, 81.033, 114.228, 5000.000, 0.000
81.380, 81.848, 115.410, 5000.000, 0.000
82.234, 82.666, 116.592, 5000.000, 0.000
83.087, 83.484, 117.775, 5000.000, 0.000
83.942, 84.302, 118.957, 5000.000, 0.000
84.799, 85.117, 120.140, 5000.000, 0.000
85.660, 85.927, 121.322, 5000.000, 0.000
86.528, 86.730, 122.503, 5000.000, 0.000
87.357, 87.576, 123.688, 5000.000, 0.000
88.181, 88.427, 124.872, 5000.000, 0.000
89.002, 89.282, 126.057, 5000.000, 0.000
89.820, 90.139, 127.241, 5000.000, 0.000
90.636, 90.999, 128.426, 5000.000, 0.000
91.452, 91.859, 129.612, 5000.000, 0.000
92.267, 92.720, 130.797, 5000.000, 0.000
93.084, 93.580, 131.982, 5000.000, 0.000
93.902, 94.437, 133.167, 5000.000, 0.000
94.723, 95.292, 134.352, 5000.000, 0.000
95.547, 96.143, 135.537, 5000.000, 0.000
96.409, 96.952, 136.718, 5000.000, 0.000
97.265, 97.769, 137.900, 5000.000, 0.000
98.115, 98.591, 139.083, 5000.000, 0.000
98.961, 99.418, 140.266, 5000.000, 0.000
99.805, 100.246, 141.449, 5000.000, 0.000
100.650, 101.075, 142.632, 5000.000, 0.000
101.496, 101.902, 143.815, 5000.000, 0.000
102.346, 102.724, 144.998, 5000.000, 0.000
103.202, 103.541, 146.180, 5000.000, 0.000
104.064, 104.350, 147.362, 5000.000, 0.000
104.888, 105.201, 148.547, 5000.000, 0.000
105.709, 106.056, 149.731, 5000.000, 0.000
106.527, 106.913, 150.916, 5000.000, 0.000
107.344, 107.773, 152.101, 5000.000, 0.000
108.159, 108.633, 153.286, 5000.000, 0.000
108.975, 109.494, 154.471, 5000.000, 0.000
109.791, 110.354, 155.657, 5000.000, 0.000
110.609, 111.211, 156.842, 5000.000, 0.000
111.430, 112.066, 158.027, 5000.000, 0.000
112.254, 112.917, 159.211, 5000.000, 0.000
113.083, 113.763, 160.396, 5000.000, 0.000
113.917, 114.603, 161.579, 5000.000, 0.000
114.757, 115.436, 162.763, 5000.000, 0.000
115.605, 116.261, 163.945, 5000.000, 0.000
116.494, 117.041, 165.125, 5000.000, 0.000
117.379, 117.825, 166.306, 5000.000, 0.000
118.263, 118.610, 167.487, 5000.000, 0.000
119.146, 119.396, 168.669, 5000.000, 0.000
120.032, 120.179, 169.850, 5000.000, 0.000
120.921, 120.959, 171.032, 5000.000, 0.000
121.768, 121.785, 172.215, 5000.000, 0.000
122.609, 122.618, 173.398, 5000.000, 0.000
123.443, 123.458, 174.581, 5000.000, 0.000
124.271, 124.304, 175.765, 5000.000, 0.000
125.096, 125.155, 176.949, 5000.000, 0.000
125.917, 126.009, 178.133, 5000.000, 0.000
126.735, 126.867, 179.317, 5000.000, 0.000
127.551, 127.727, 180.502, 5000.000, 0.000
128.367, 128.587, 181.686, 5000.000, 0.000
129.182, 129.448, 182.871, 5000.000, 0.000
129.999, 130.307, 184.057, 5000.000, 0.000
130.817, 131.165, 185.242, 5000.000, 0.000
131.637, 132.020, 186.427, 5000.000, 0.000
132.495, 132.834, 187.608, 5000.000, 0.000
133.345, 133.656, 188.791, 5000.000, 0.000
134.189, 134.486, 189.974, 5000.000, 0.000
135.028, 135.320, 191.157, 5000.000, 0.000
135.865, 136.157, 192.341, 5000.000, 0.000
136.701, 136.996, 193.525, 5000.000, 0.000
137.537, 137.833, 194.708, 5000.000, 0.000
138.376, 138.668, 195.892, 5000.000, 0.000
139.220, 139.497, 197.075, 5000.000, 0.000
140.070, 140.320, 198.258, 5000.000, 0.000
140.928, 141.134, 199.440, 5000.000, 0.000
141.749, 141.988, 200.625, 5000.000, 0.000
142.567, 142.846, 201.810, 5000.000, 0.000
143.383, 143.706, 202.995, 5000.000, 0.000
144.199, 144.566, 204.180, 5000.000, 0.000
145.014, 145.427, 205.365, 5000.000, 0.000
145.831, 146.286, 206.550, 5000.000, 0.000
146.649, 147.144, 207.736, 5000.000, 0.000
147.470, 147.999, 208.920, 5000.000, 0.000
148.294, 148.849, 210.105, 5000.000, 0.000
149.123, 149.695, 211.289, 5000.000, 0.000
149.957, 150.535, 212.473, 5000.000, 0.000
150.831, 151.332, 213.654, 5000.000, 0.000
151.699, 152.134, 214.836, 5000.000, 0.000
152.564, 152.940, 216.018, 5000.000, 0.000
153.427, 153.748, 217.200, 5000.000, 0.000
154.291, 154.556, 218.382, 5000.000, 0.000
155.156, 155.362, 219.565, 5000.000, 0.000
156.024, 156.164, 220.747, 5000.000, 0.000
156.898, 156.961, 221.929, 5000.000, 0.000
157.732, 157.801, 223.112, 5000.000, 0.000
158.561, 158.647, 224.296, 5000.000, 0.000
159.385, 159.497, 225.480, 5000.000, 0.000
160.206, 160.352, 226.664, 5000.000, 0.000
161.024, 161.210, 227.848, 5000.000, 0.000
161.841, 162.069, 229.033, 5000.000, 0.000
162.656, 162.930, 230.218, 5000.000, 0.000
163.472, 163.791, 231.403, 5000.000, 0.000
164.288, 164.650, 232.588, 5000.000, 0.000
165.106, 165.508, 233.772, 5000.000, 0.000
165.927, 166.363, 234.957, 5000.000, 0.000
166.751, 167.213, 236.142, 5000.000, 0.000
167.580, 168.059, 237.326, 5000.000, 0.000
168.414, 168.899, 238.510, 5000.000, 0.000
169.255, 169.733, 239.693, 5000.000, 0.000
170.102, 170.558, 240.876, 5000.000, 0.000
170.957, 171.375, 242.058, 5000.000, 0.000
171.822, 172.181, 243.240, 5000.000, 0.000
172.729, 172.941, 244.420, 5000.000, 0.000
173.635, 173.702, 245.600, 5000.000, 0.000
174.541, 174.463, 246.781, 5000.000, 0.000
175.448, 175.222, 247.963, 5000.000, 0.000
176.313, 176.029, 249.145, 5000.000, 0.000
177.168, 176.846, 250.328, 5000.000, 0.000
178.016, 177.671, 251.511, 5000.000, 0.000
178.856, 178.504, 252.693, 5000.000, 0.000
179.690, 179.344, 253.877, 5000.000, 0.000
180.519, 180.190, 255.060, 5000.000, 0.000
181.343, 181.041, 256.244, 5000.000, 0.000
182.164, 181.896, 257.428, 5000.000, 0.000
182.982, 182.753, 258.612, 5000.000, 0.000
183.798, 183.613, 259.796, 5000.000, 0.000
184.614, 184.474, 260.980, 5000.000, 0.000
185.429, 185.334, 262.166, 5000.000, 0.000
186.246, 186.194, 263.352, 5000.000, 0.000
187.097, 187.015, 264.533, 5000.000, 0.000
187.939, 187.846, 265.717, 5000.000, 0.000
188.773, 188.686, 266.900, 5000.000, 0.000
189.601, 189.533, 268.085, 5000.000, 0.000
190.424, 190.385, 269.270, 5000.000, 0.000
191.245, 191.240, 270.455, 5000.000, 0.000
192.065, 192.096, 271.640, 5000.000, 0.000
192.885, 192.951, 272.825, 5000.000, 0.000
193.709, 193.803, 274.009, 5000.000, 0.000
194.536, 194.650, 275.194, 5000.000, 0.000
195.370, 195.490, 276.377, 5000.000, 0.000
196.212, 196.322, 277.561, 5000.000, 0.000
197.064, 197.143, 278.743, 5000.000, 0.000
197.880, 198.002, 279.928, 5000.000, 0.000
198.696, 198.863, 281.114, 5000.000, 0.000
199.511, 199.723, 282.299, 5000.000, 0.000
200.328, 200.583, 283.484, 5000.000, 0.000
201.146, 201.441, 284.670, 5000.000, 0.000
201.967, 202.295, 285.855, 5000.000, 0.000
202.791, 203.146, 287.039, 5000.000, 0.000
203.620, 203.992, 288.224, 5000.000, 0.000
204.487, 204.795, 289.405, 5000.000, 0.000
205.349, 205.605, 290.588, 5000.000, 0.000
206.206, 206.420, 291.770, 5000.000, 0.000
207.060, 207.238, 292.953, 5000.000, 0.000
207.914, 208.057, 294.135, 5000.000, 0.000
208.768, 208.874, 295.318, 5000.000, 0.000
209.625, 209.689, 296.501, 5000.000, 0.000
210.486, 210.499, 297.683, 5000.000, 0.000
211.354, 211.302, 298.865, 5000.000, 0.000
212.183, 212.148, 300.049, 5000.000, 0.000
213.007, 212.999, 301.233, 5000.000, 0.000
213.828, 213.854, 302.417, 5000.000, 0.000
214.646, 214.712, 303.602, 5000.000, 0.000
215.463, 215.571, 304.786, 5000.000, 0.000
216.278, 216.432, 305.971, 5000.000, 0.000
217.094, 217.292, 307.156, 5000.000, 0.000
217.910, 218.152, 308.341, 5000.000, 0.000
218.728, 219.010, 309.526, 5000.000, 0.000
219.549, 219.864, 310.710, 5000.000, 0.000
220.373, 220.715, 311.895, 5000.000, 0.000
221.202, 221.561, 313.079, 5000.000, 0.000
222.036, 222.401, 314.263, 5000.000, 0.000
222.876, 223.234, 315.446, 5000.000, 0.000
223.724, 224.060, 316.629, 5000.000, 0.000
224.579, 224.876, 317.812, 5000.000, 0.000
225.444, 225.683, 318.994, 5000.000, 0.000
226.351, 226.442, 320.174, 5000.000, 0.000
227.257, 227.204, 321.356, 5000.000, 0.000
228.163, 227.965, 322.537, 5000.000, 0.000
229.070, 228.724, 323.720, 5000.000, 0.009
229.935, 229.531, 324.902, 5000.000, 0.025
230.790, 230.347, 326.084, 5000.000, 0.040
231.637, 231.173, 327.267, 5000.000, 0.056
232.478, 232.006, 328.449, 5000.000, 0.071
233.312, 232.846, 329.632, 5000.000, 0.087
234.141, 233.692, 330.815, 5000.000, 0.103
234.965, 234.543, 331.999, 5000.000, 0.118
235.786, 235.398, 333.182, 5000.000, 0.134
236.604, 236.255, 334.366, 5000.000, 0.149
237.420, 237.115, 335.550, 5000.000, 0.165
238.236, 237.975, 336.735, 5000.000, 0.180
239.051, 238.836, 337.919, 5000.000, 0.196
239.868, 239.696, 339.104, 5000.000, 0.211
240.686, 240.553, 340.289, 5000.000, 0.227
241.540, 241.371, 341.471, 5000.000, 0.242
242.386, 242.199, 342.654, 5000.000, 0.258
243.224, 243.034, 343.838, 5000.000, 0.273
244.057, 243.875, 345.021, 5000.000, 0.289
244.887, 244.720, 346.206, 5000.000, 0.304
245.714, 245.567, 347.390, 5000.000, 0.320
246.542, 246.414, 348.574, 5000.000, 0.335
247.372, 247.260, 349.758, 5000.000, 0.351
248.205, 248.101, 350.942, 5000.000, 0.367
249.043, 248.936, 352.126, 5000.000, 0.382
249.888, 249.764, 353.309, 5000.000, 0.398
250.743, 250.582, 354.491, 5000.000, 0.413
251.561, 251.439, 355.676, 5000.000, 0.429
252.377, 252.299, 356.861, 5000.000, 0.444
253.193, 253.159, 358.047, 5000.000, 0.460
254.008, 254.020, 359.232, 5000.000, 0.475
254.825, 254.880, 360.417, 5000.000, 0.491
255.643, 255.737, 361.602, 5000.000, 0.506
256.464, 256.592, 362.787, 5000.000, 0.522
257.288, 257.443, 363.972, 5000.000, 0.537
258.117, 258.289, 365.156, 5000.000, 0.553
258.951, 259.129, 366.340, 5000.000, 0.568
259.825, 259.925, 367.522, 5000.000, 0.584
260.693, 260.727, 368.704, 5000.000, 0.600
261.558, 261.533, 369.886, 5000.000, 0.615
262.422, 262.341, 371.068, 5000.000, 0.631
263.285, 263.149, 372.251, 5000.000, 0.646
264.150, 263.955, 373.433, 5000.000, 0.662
265.018, 264.758, 374.615, 5000.000, 0.677
265.892, 265.554, 375.798, 5000.000, 0.693
266.726, 266.394, 376.981, 5000.000, 0.708
267.555, 267.240, 378.164, 5000.000, 0.724
268.379, 268.091, 379.348, 5000.000, 0.739
269.200, 268.945, 380.532, 5000.000, 0.755
270.018, 269.803, 381.716, 5000.000, 0.770
270.835, 270.663, 382.901, 5000.000, 0.786
271.650, 271.523, 384.085, 5000.000, 0.801
272.466, 272.384, 385.270, 5000.000, 0.817
273.282, 273.243, 386.455, 5000.000, 0.832
274.100, 274.101, 387.640, 5000.000, 0.848
274.921, 274.956, 388.824, 5000.000, 0.863
275.745, 275.807, 390.009, 5000.000, 0.879
276.574, 276.653, 391.193, 5000.000, 0.894
277.408, 277.493, 392.377, 5000.000, 0.910
278.249, 278.326, 393.560, 5000.000, 0.926
279.096, 279.151, 394.743, 5000.000, 0.941
279.951, 279.968, 395.925, 5000.000, 0.957
280.816, 280.775, 397.107, 5000.000, 0.972
281.690, 281.571, 398.289, 5000.000, 0.988
282.608, 282.318, 399.470, 5000.000, 1.003
283.525, 283.067, 400.651, 5000.000, 1.019
284.444, 283.814, 401.833, 5000.000, 1.034
