x, y, length, r, ctrl
-0.137, 0.139, 0.000, 5000.000, 0.000
0.747, 0.927, 1.184, 5000.000, 0.000
1.626, 1.718, 2.367, 5000.000, 0.000
2.502, 2.514, 3.550, 5000.000, 0.000
3.374, 3.314, 4.733, 5000.000, 0.000
4.242, 4.118, 5.916, 5000.000, 0.000
5.105, 4.925, 7.099, 5000.000, 0.000
5.965, 5.737, 8.281, 5000.000, 0.000
6.821, 6.553, 9.463, 5000.000, 0.000
7.672, 7.373, 10.645, 5000.000, 0.000
8.520, 8.197, 11.827, 5000.000, 0.000
9.364, 9.026, 13.009, 5000.000, 0.000
10.204, 9.858, 14.191, 5000.000, 0.000
11.039, 10.694, 15.373, 5000.000, 0.000
11.871, 11.535, 16.554, 5000.000, 0.000
13.127, 12.787, 18.327, 5000.000, 0.000
13.958, 13.627, 19.509, 5000.000, 0.000
14.780, 14.478, 20.691, 5000.000, 0.000
15.594, 15.336, 21.873, 5000.000, 0.000
16.401, 16.202, 23.055, 5000.000, 0.000
17.200, 17.075, 24.237, 5000.000, 0.000
17.995, 17.953, 25.419, 5000.000, 0.000
18.784, 18.837, 26.601, 5000.000, 0.000
19.570, 19.723, 27.786, 5000.000, 0.000
20.354, 20.613, 28.971, 5000.000, 0.000
21.135, 21.505, 30.157, 5000.000, 0.000
21.916, 22.397, 31.342, 5000.000, 0.000
22.696, 23.289, 32.528, 5000.000, 0.000
23.477, 24.181, 33.713, 5000.000, 0.000
24.261, 25.071, 34.899, 5000.000, 0.000
25.047, 25.957, 36.084, 5000.000, 0.000
25.801, 26.876, 37.272, 5000.000, 0.000
26.574, 27.777, 38.458, 5000.000, 0.000
27.398, 28.624, 39.639, 5000.000, 0.000
28.228, 29.467, 40.820, 5000.000, 0.000
29.063, 30.304, 42.001, 5000.000, 0.000
29.905, 31.134, 43.181, 5000.000, 0.000
30.754, 31.957, 44.361, 5000.000, 0.000
31.611, 32.771, 45.540, 5000.000, 0.000
32.477, 33.576, 46.720, 5000.000, 0.000
33.354, 34.371, 47.899, 5000.000, 0.000
34.242, 35.155, 49.078, 5000.000, 0.000
35.093, 35.975, 50.259, 5000.000, 0.000
35.942, 36.798, 51.440, 5000.000, 0.000
36.789, 37.623, 52.622, 5000.000, 0.000
37.635, 38.449, 53.804, 5000.000, 0.000
38.478, 39.277, 54.986, 5000.000, 0.000
39.320, 40.108, 56.169, 5000.000, 0.000
40.160, 40.940, 57.351, 5000.000, 0.000
40.963, 41.809, 58.533, 5000.000, 0.000
41.777, 42.667, 59.716, 5000.000, 0.000
42.636, 43.480, 60.898, 5000.000, 0.000
43.492, 44.296, 62.080, 5000.000, 0.000
44.344, 45.116, 63.262, 5000.000, 0.000
45.192, 45.939, 64.445, 5000.000, 0.000
46.036, 46.767, 65.627, 5000.000, 0.000
46.877, 47.598, 66.809, 5000.000, 0.000
47.714, 48.433, 67.991, 5000.000, 0.000
48.548, 49.272, 69.174, 5000.000, 0.000
49.377, 50.114, 70.356, 5000.000, 0.000
50.203, 50.960, 71.538, 5000.000, 0.000
51.075, 51.760, 72.720, 5000.000, 0.000
51.957, 52.549, 73.903, 5000.000, 0.000
52.802, 53.376, 75.085, 5000.000, 0.000
53.646, 54.204, 76.267, 5000.000, 0.000
54.488, 55.034, 77.449, 5000.000, 0.000
55.327, 55.867, 78.632, 5000.000, 0.000
56.165, 56.701, 79.814, 5000.000, 0.000
57.002, 57.536, 80.996, 5000.000, 0.000
57.836, 58.374, 82.179, 5000.000, 0.000
58.668, 59.214, 83.361, 5000.000, 0.000
59.499, 60.055, 84.543, 5000.000, 0.000
60.328, 60.899, 85.726, 5000.000, 0.000
61.155, 61.744, 86.908, 5000.000, 0.000
61.980, 62.591, 88.091, 5000.000, 0.000
62.803, 63.440, 89.273, 5000.000, 0.000
63.624, 64.291, 90.456, 5000.000, 0.000
64.444, 65.144, 91.638, 5000.000, 0.000
65.262, 65.998, 92.821, 5000.000, 0.000
66.126, 66.805, 94.003, 5000.000, 0.000
67.004, 67.599, 95.184, 5000.000, 0.000
67.846, 68.428, 96.366, 5000.000, 0.000
68.689, 69.258, 97.549, 5000.000, 0.000
69.532, 70.087, 98.731, 5000.000, 0.000
70.374, 70.916, 99.913, 5000.000, 0.000
71.217, 71.745, 101.095, 5000.000, 0.000
72.060, 72.575, 102.278, 5000.000, 0.000
72.902, 73.404, 103.460, 5000.000, 0.000
73.780, 74.198, 104.642, 5000.000, 0.000
74.645, 75.005, 105.824, 5000.000, 0.000
75.497, 75.824, 107.007, 5000.000, 0.000
76.339, 76.654, 108.189, 5000.000, 0.000
77.135, 77.530, 109.371, 5000.000, 0.000
77.935, 78.403, 110.554, 5000.000, 0.000
78.739, 79.272, 111.737, 5000.000, 0.000
79.547, 80.137, 112.920, 5000.000, 0.000
80.393, 80.962, 114.102, 5000.000, 0.000
81.230, 81.797, 115.284, 5000.000, 0.000
82.058, 82.641, 116.466, 5000.000, 0.000
82.879, 83.492, 117.649, 5000.000, 0.000
83.659, 84.385, 118.833, 5000.000, 0.000
84.446, 85.271, 120.017, 5000.000, 0.000
85.241, 86.149, 121.200, 5000.000, 0.000
86.043, 87.020, 122.384, 5000.000, 0.000
86.852, 87.883, 123.567, 5000.000, 0.000
87.669, 88.739, 124.750, 5000.000, 0.000
88.493, 89.587, 125.932, 5000.000, 0.000
89.324, 90.427, 127.115, 5000.000, 0.000
90.163, 91.260, 128.296, 5000.000, 0.000
91.010, 92.086, 129.478, 5000.000, 0.000
91.863, 92.904, 130.660, 5000.000, 0.000
92.725, 93.714, 131.842, 5000.000, 0.000
93.593, 94.517, 133.025, 5000.000, 0.000
94.469, 95.313, 134.208, 5000.000, 0.000
95.352, 96.100, 135.392, 5000.000, 0.000
96.243, 96.881, 136.576, 5000.000, 0.000
97.141, 97.654, 137.760, 5000.000, 0.000
98.047, 98.419, 138.945, 5000.000, 0.000
98.911, 99.226, 140.128, 5000.000, 0.000
99.768, 100.041, 141.310, 5000.000, 0.000
100.616, 100.865, 142.491, 5000.000, 0.000
101.455, 101.698, 143.673, 5000.000, 0.000
102.333, 102.491, 144.856, 5000.000, 0.000
103.215, 103.281, 146.039, 5000.000, 0.000
104.100, 104.067, 147.223, 5000.000, 0.000
104.989, 104.849, 148.407, 5000.000, 0.000
105.833, 105.677, 149.589, 5000.000, 0.000
106.665, 106.517, 150.770, 5000.000, 0.000
107.486, 107.369, 151.950, 5000.000, 0.000
108.294, 108.233, 153.131, 5000.000, 0.000
109.136, 109.063, 154.312, 5000.000, 0.000
109.979, 109.892, 155.494, 5000.000, 0.000
110.821, 110.721, 156.676, 5000.000, 0.000
111.664, 111.550, 157.859, 5000.000, 0.000
112.507, 112.380, 159.041, 5000.000, 0.000
113.384, 113.173, 160.223, 5000.000, 0.000
114.214, 114.016, 161.405, 5000.000, 0.000
115.045, 114.857, 162.588, 5000.000, 0.000
115.876, 115.698, 163.770, 5000.000, 0.000
116.709, 116.538, 164.952, 5000.000, 0.000
117.542, 117.376, 166.134, 5000.000, 0.000
118.376, 118.214, 167.317, 5000.000, 0.000
119.212, 119.051, 168.499, 5000.000, 0.000
120.048, 119.887, 169.681, 5000.000, 0.000
120.885, 120.721, 170.864, 5000.000, 0.000
121.723, 121.555, 172.046, 5000.000, 0.000
