x, y, length, r, ctrl
-0.998, 1.120, 0.000, 5000.000, 0.000
-0.172, 1.971, 1.185, 5000.000, 0.000
0.655, 2.821, 2.371, 5000.000, 0.000
1.481, 3.670, 3.556, 5000.000, 0.000
2.309, 4.518, 4.741, 5000.000, 0.000
3.137, 5.367, 5.926, 5000.000, 0.000
3.965, 6.214, 7.111, 5000.000, 0.000
4.794, 7.061, 8.297, 5000.000, 0.000
5.624, 7.907, 9.482, 5000.000, 0.000
6.454, 8.753, 10.666, 5000.000, 0.000
7.284, 9.598, 11.851, 5000.000, 0.000
8.115, 10.442, 13.036, 5000.000, 0.000
8.947, 11.286, 14.221, 5000.000, 0.000
9.779, 12.130, 15.406, 5000.000, 0.000
10.611, 12.972, 16.590, 5000.000, 0.000
11.915, 14.175, 18.362, 5000.000, 0.000
12.777, 14.985, 19.544, 5000.000, 0.000
13.604, 15.834, 20.729, 5000.000, 0.000
14.429, 16.686, 21.915, 5000.000, 0.000
15.253, 17.538, 23.100, 5000.000, 0.000
16.110, 18.353, 24.282, 5000.000, 0.000
16.956, 19.181, 25.466, 5000.000, 0.000
17.792, 20.020, 26.650, 5000.000, 0.000
18.620, 20.868, 27.835, 5000.000, 0.000
19.442, 21.722, 29.021, 5000.000, 0.000
20.260, 22.582, 30.207, 5000.000, 0.000
21.075, 23.444, 31.394, 5000.000, 0.000
21.889, 24.307, 32.581, 5000.000, 0.000
22.704, 25.170, 33.767, 5000.000, 0.000
23.522, 26.029, 34.954, 5000.000, 0.000
24.344, 26.884, 36.140, 5000.000, 0.000
25.172, 27.732, 37.325, 5000.000, 0.000
26.009, 28.570, 38.509, 5000.000, 0.000
26.854, 29.398, 39.692, 5000.000, 0.000
27.712, 30.214, 40.874, 5000.000, 0.000
28.536, 31.066, 42.059, 5000.000, 0.000
29.360, 31.917, 43.245, 5000.000, 0.000
30.187, 32.767, 44.430, 5000.000, 0.000
31.016, 33.613, 45.615, 5000.000, 0.000
31.849, 34.456, 46.800, 5000.000, 0.000
32.686, 35.294, 47.984, 5000.000, 0.000
33.562, 36.088, 49.164, 5000.000, 0.000
34.398, 36.927, 50.348, 5000.000, 0.000
35.243, 37.756, 51.532, 5000.000, 0.000
36.129, 38.539, 52.712, 5000.000, 0.000
37.012, 39.325, 53.894, 5000.000, 0.000
37.895, 40.111, 55.076, 5000.000, 0.000
38.778, 40.897, 56.258, 5000.000, 0.000
39.664, 41.679, 57.441, 5000.000, 0.000
40.555, 42.457, 58.623, 5000.000, 0.000
41.405, 43.280, 59.805, 5000.000, 0.000
42.250, 44.110, 60.988, 5000.000, 0.000
43.089, 44.945, 62.171, 5000.000, 0.000
43.923, 45.786, 63.354, 5000.000, 0.000
44.754, 46.630, 64.538, 5000.000, 0.000
45.583, 47.478, 65.722, 5000.000, 0.000
46.409, 48.327, 66.907, 5000.000, 0.000
47.268, 49.140, 68.089, 5000.000, 0.000
48.115, 49.967, 69.273, 5000.000, 0.000
48.951, 50.806, 70.457, 5000.000, 0.000
49.778, 51.655, 71.641, 5000.000, 0.000
50.599, 52.511, 72.826, 5000.000, 0.000
51.414, 53.374, 74.012, 5000.000, 0.000
52.225, 54.240, 75.198, 5000.000, 0.000
53.035, 55.109, 76.384, 5000.000, 0.000
53.845, 55.977, 77.570, 5000.000, 0.000
54.656, 56.843, 78.756, 5000.000, 0.000
55.472, 57.706, 79.943, 5000.000, 0.000
56.292, 58.562, 81.129, 5000.000, 0.000
57.119, 59.411, 82.314, 5000.000, 0.000
57.955, 60.250, 83.498, 5000.000, 0.000
58.756, 61.129, 84.687, 5000.000, 0.000
59.601, 61.958, 85.870, 5000.000, 0.000
60.459, 62.772, 87.052, 5000.000, 0.000
61.285, 63.621, 88.237, 5000.000, 0.000
62.115, 64.468, 89.422, 5000.000, 0.000
62.981, 65.273, 90.603, 5000.000, 0.000
63.839, 66.087, 91.786, 5000.000, 0.000
64.691, 66.908, 92.969, 5000.000, 0.000
65.538, 67.734, 94.152, 5000.000, 0.000
66.383, 68.563, 95.336, 5000.000, 0.000
67.227, 69.393, 96.519, 5000.000, 0.000
68.072, 70.222, 97.703, 5000.000, 0.000
68.920, 71.048, 98.886, 5000.000, 0.000
69.771, 71.869, 100.069, 5000.000, 0.000
70.630, 72.683, 101.252, 5000.000, 0.000
71.495, 73.489, 102.434, 5000.000, 0.000
72.325, 74.335, 103.619, 5000.000, 0.000
73.151, 75.185, 104.804, 5000.000, 0.000
73.976, 76.036, 105.989, 5000.000, 0.000
74.800, 76.889, 107.175, 5000.000, 0.000
75.624, 77.741, 108.360, 5000.000, 0.000
76.482, 78.555, 109.542, 5000.000, 0.000
77.330, 79.381, 110.726, 5000.000, 0.000
78.169, 80.217, 111.910, 5000.000, 0.000
79.001, 81.061, 113.095, 5000.000, 0.000
79.827, 81.910, 114.280, 5000.000, 0.000
80.650, 82.764, 115.465, 5000.000, 0.000
81.471, 83.619, 116.651, 5000.000, 0.000
82.292, 84.475, 117.837, 5000.000, 0.000
83.115, 85.329, 119.023, 5000.000, 0.000
83.942, 86.178, 120.208, 5000.000, 0.000
84.774, 87.022, 121.393, 5000.000, 0.000
85.612, 87.858, 122.577, 5000.000, 0.000
86.460, 88.684, 123.760, 5000.000, 0.000
87.318, 89.498, 124.942, 5000.000, 0.000
88.142, 90.350, 126.128, 5000.000, 0.000
88.966, 91.203, 127.313, 5000.000, 0.000
89.791, 92.054, 128.499, 5000.000, 0.000
90.618, 92.904, 129.684, 5000.000, 0.000
91.447, 93.750, 130.869, 5000.000, 0.000
92.280, 94.593, 132.054, 5000.000, 0.000
93.117, 95.430, 133.238, 5000.000, 0.000
93.959, 96.262, 134.422, 5000.000, 0.000
94.841, 97.050, 135.603, 5000.000, 0.000
95.718, 97.843, 136.784, 5000.000, 0.000
96.591, 98.640, 137.966, 5000.000, 0.000
97.462, 99.440, 139.149, 5000.000, 0.000
98.333, 100.239, 140.331, 5000.000, 0.000
99.206, 101.037, 141.513, 5000.000, 0.000
100.083, 101.830, 142.695, 5000.000, 0.000
100.964, 102.618, 143.877, 5000.000, 0.000
101.807, 103.449, 145.061, 5000.000, 0.000
102.644, 104.287, 146.244, 5000.000, 0.000
103.477, 105.129, 147.428, 5000.000, 0.000
104.306, 105.976, 148.612, 5000.000, 0.000
105.133, 106.825, 149.797, 5000.000, 0.000
105.958, 107.677, 150.982, 5000.000, 0.000
106.782, 108.529, 152.166, 5000.000, 0.000
107.606, 109.382, 153.351, 5000.000, 0.000
108.431, 110.233, 154.536, 5000.000, 0.000
109.257, 111.082, 155.721, 5000.000, 0.000
110.120, 111.892, 156.903, 5000.000, 0.000
110.973, 112.711, 158.087, 5000.000, 0.000
111.820, 113.538, 159.270, 5000.000, 0.000
112.661, 114.371, 160.454, 5000.000, 0.000
113.499, 115.208, 161.638, 5000.000, 0.000
114.335, 116.046, 162.822, 5000.000, 0.000
115.172, 116.885, 164.007, 5000.000, 0.000
116.009, 117.722, 165.191, 5000.000, 0.000
116.851, 118.555, 166.375, 5000.000, 0.000
117.698, 119.382, 167.558, 5000.000, 0.000
