x, y, length, r, ctrl
0.146, -0.161, 0.000, 5000.000, 0.000
0.979, 0.680, 1.184, 5000.000, 0.000
1.812, 1.522, 2.368, 5000.000, 0.000
2.644, 2.364, 3.552, 5000.000, 0.000
3.476, 3.206, 4.736, 5000.000, 0.000
4.308, 4.049, 5.920, 5000.000, 0.000
5.140, 4.892, 7.105, 5000.000, 0.000
5.971, 5.736, 8.289, 5000.000, 0.000
6.802, 6.580, 9.473, 5000.000, 0.000
7.632, 7.424, 10.657, 5000.000, 0.000
8.463, 8.268, 11.842, 5000.000, 0.000
9.293, 9.113, 13.026, 5000.000, 0.000
10.122, 9.958, 14.210, 5000.000, 0.000
10.952, 10.804, 15.395, 5000.000, 0.000
11.781, 11.650, 16.579, 5000.000, 0.000
13.027, 12.915, 18.355, 5000.000, 0.000
13.852, 13.766, 19.540, 5000.000, 0.000
14.672, 14.622, 20.725, 5000.000, 0.000
15.488, 15.482, 21.911, 5000.000, 0.000
16.302, 16.344, 23.097, 5000.000, 0.000
17.117, 17.206, 24.282, 5000.000, 0.000
17.933, 18.066, 25.468, 5000.000, 0.000
18.752, 18.922, 26.653, 5000.000, 0.000
19.577, 19.773, 27.838, 5000.000, 0.000
20.410, 20.615, 29.022, 5000.000, 0.000
21.250, 21.448, 30.205, 5000.000, 0.000
22.102, 22.269, 31.388, 5000.000, 0.000
22.919, 23.128, 32.573, 5000.000, 0.000
23.736, 23.987, 33.759, 5000.000, 0.000
24.554, 24.845, 34.944, 5000.000, 0.000
25.374, 25.701, 36.129, 5000.000, 0.000
26.197, 26.554, 37.314, 5000.000, 0.000
27.023, 27.403, 38.499, 5000.000, 0.000
27.853, 28.247, 39.683, 5000.000, 0.000
28.723, 29.049, 40.864, 5000.000, 0.000
29.586, 29.857, 42.046, 5000.000, 0.000
30.444, 30.670, 43.228, 5000.000, 0.000
31.300, 31.486, 44.410, 5000.000, 0.000
32.155, 32.303, 45.592, 5000.000, 0.000
33.011, 33.119, 46.775, 5000.000, 0.000
33.870, 33.933, 47.957, 5000.000, 0.000
34.733, 34.741, 49.139, 5000.000, 0.000
35.602, 35.542, 50.320, 5000.000, 0.000
36.433, 36.387, 51.505, 5000.000, 0.000
37.259, 37.236, 52.689, 5000.000, 0.000
38.081, 38.089, 53.874, 5000.000, 0.000
38.901, 38.945, 55.059, 5000.000, 0.000
39.719, 39.803, 56.245, 5000.000, 0.000
40.536, 40.662, 57.430, 5000.000, 0.000
41.354, 41.521, 58.616, 5000.000, 0.000
42.172, 42.379, 59.801, 5000.000, 0.000
42.992, 43.235, 60.987, 5000.000, 0.000
43.848, 44.051, 62.168, 5000.000, 0.000
44.695, 44.877, 63.351, 5000.000, 0.000
45.535, 45.710, 64.534, 5000.000, 0.000
46.369, 46.550, 65.718, 5000.000, 0.000
47.201, 47.393, 66.902, 5000.000, 0.000
48.030, 48.239, 68.087, 5000.000, 0.000
48.860, 49.084, 69.271, 5000.000, 0.000
49.691, 49.928, 70.455, 5000.000, 0.000
50.525, 50.767, 71.639, 5000.000, 0.000
51.365, 51.601, 72.822, 5000.000, 0.000
52.213, 52.427, 74.005, 5000.000, 0.000
53.069, 53.243, 75.187, 5000.000, 0.000
53.888, 54.099, 76.373, 5000.000, 0.000
54.707, 54.957, 77.558, 5000.000, 0.000
55.524, 55.816, 78.743, 5000.000, 0.000
56.341, 56.675, 79.929, 5000.000, 0.000
57.159, 57.533, 81.114, 5000.000, 0.000
58.012, 58.352, 82.296, 5000.000, 0.000
58.856, 59.182, 83.480, 5000.000, 0.000
59.692, 60.020, 84.663, 5000.000, 0.000
60.521, 60.866, 85.848, 5000.000, 0.000
61.346, 61.716, 87.032, 5000.000, 0.000
62.168, 62.569, 88.217, 5000.000, 0.000
62.990, 63.424, 89.402, 5000.000, 0.000
63.812, 64.277, 90.587, 5000.000, 0.000
64.637, 65.127, 91.772, 5000.000, 0.000
65.466, 65.973, 92.957, 5000.000, 0.000
66.302, 66.811, 94.140, 5000.000, 0.000
67.146, 67.641, 95.323, 5000.000, 0.000
67.999, 68.460, 96.506, 5000.000, 0.000
68.817, 69.318, 97.691, 5000.000, 0.000
69.634, 70.177, 98.877, 5000.000, 0.000
70.451, 71.036, 100.062, 5000.000, 0.000
71.303, 71.857, 101.244, 5000.000, 0.000
72.144, 72.690, 102.428, 5000.000, 0.000
72.976, 73.532, 103.612, 5000.000, 0.000
73.801, 74.382, 104.797, 5000.000, 0.000
74.621, 75.239, 105.982, 5000.000, 0.000
75.437, 76.099, 107.168, 5000.000, 0.000
76.251, 76.961, 108.354, 5000.000, 0.000
77.066, 77.823, 109.539, 5000.000, 0.000
77.882, 78.683, 110.725, 5000.000, 0.000
78.701, 79.539, 111.910, 5000.000, 0.000
79.526, 80.390, 113.095, 5000.000, 0.000
80.358, 81.232, 114.279, 5000.000, 0.000
81.199, 82.065, 115.462, 5000.000, 0.000
82.051, 82.886, 116.644, 5000.000, 0.000
82.868, 83.745, 117.830, 5000.000, 0.000
83.685, 84.604, 119.015, 5000.000, 0.000
84.503, 85.462, 120.201, 5000.000, 0.000
85.323, 86.318, 121.386, 5000.000, 0.000
86.146, 87.171, 122.571, 5000.000, 0.000
86.972, 88.020, 123.756, 5000.000, 0.000
87.802, 88.864, 124.940, 5000.000, 0.000
88.672, 89.666, 126.121, 5000.000, 0.000
89.535, 90.474, 127.302, 5000.000, 0.000
90.393, 91.287, 128.483, 5000.000, 0.000
91.249, 92.103, 129.666, 5000.000, 0.000
92.104, 92.920, 130.848, 5000.000, 0.000
92.960, 93.736, 132.030, 5000.000, 0.000
93.819, 94.549, 133.213, 5000.000, 0.000
94.682, 95.358, 134.395, 5000.000, 0.000
95.551, 96.159, 135.578, 5000.000, 0.000
96.382, 97.003, 136.761, 5000.000, 0.000
97.208, 97.853, 137.945, 5000.000, 0.000
98.030, 98.706, 139.130, 5000.000, 0.000
98.850, 99.562, 140.314, 5000.000, 0.000
99.668, 100.420, 141.499, 5000.000, 0.000
100.485, 101.279, 142.684, 5000.000, 0.000
101.303, 102.138, 143.870, 5000.000, 0.000
102.121, 102.996, 145.055, 5000.000, 0.000
102.941, 103.852, 146.240, 5000.000, 0.000
103.763, 104.705, 147.425, 5000.000, 0.000
104.589, 105.554, 148.609, 5000.000, 0.000
105.420, 106.398, 149.794, 5000.000, 0.000
106.255, 107.236, 150.977, 5000.000, 0.000
107.097, 108.068, 152.161, 5000.000, 0.000
107.946, 108.892, 153.344, 5000.000, 0.000
108.837, 109.670, 154.523, 5000.000, 0.000
109.724, 110.451, 155.703, 5000.000, 0.000
110.609, 111.235, 156.884, 5000.000, 0.000
111.494, 112.019, 158.066, 5000.000, 0.000
112.381, 112.801, 159.248, 5000.000, 0.000
113.272, 113.579, 160.431, 5000.000, 0.000
114.121, 114.403, 161.613, 5000.000, 0.000
114.963, 115.234, 162.795, 5000.000, 0.000
115.799, 116.073, 163.978, 5000.000, 0.000
116.629, 116.917, 165.161, 5000.000, 0.000
117.455, 117.766, 166.345, 5000.000, 0.000
118.278, 118.619, 167.529, 5000.000, 0.000
119.097, 119.475, 168.714, 5000.000, 0.000
119.916, 120.333, 169.898, 5000.000, 0.000
120.733, 121.192, 171.083, 5000.000, 0.000
121.583, 122.014, 172.266, 5000.000, 0.000
122.423, 122.849, 173.450, 5000.000, 0.000
123.252, 123.694, 174.634, 5000.000, 0.000
124.073, 124.548, 175.818, 5000.000, 0.000
124.889, 125.409, 177.004, 5000.000, 0.000
125.700, 126.275, 178.189, 5000.000, 0.000
126.508, 127.144, 179.375, 5000.000, 0.000
127.315, 128.014, 180.561, 5000.000, 0.000
128.123, 128.883, 181.747, 5000.000, 0.000
128.934, 129.749, 182.933, 5000.000, 0.000
129.749, 130.610, 184.119, 5000.000, 0.000
130.571, 131.465, 185.304, 5000.000, 0.000
131.400, 132.310, 186.488, 5000.000, 0.000
132.239, 133.145, 187.672, 5000.000, 0.000
133.090, 133.967, 188.854, 5000.000, 0.000
133.907, 134.826, 190.039, 5000.000, 0.000
134.725, 135.684, 191.225, 5000.000, 0.000
